match,league,behind_bookie,behind_time,correct_time,correct_bookies,gap_minutes,window_until,strategy,confidence
Antalyaspor vs Samsunspor,Football,Xscores,19:00,20:00,['Odibets'],60.0,19:00,🎯 PROFIT: Xscores is 60min behind. Match starts at 19:00 (per Xscores) but actually at 20:00 (per Odibets). You can bet on Xscores website until 19:00!,HIGH
Galatasaray vs Eyupspor,SL,Xscores,19:00,20:00,['Betika'],60.0,19:00,🎯 PROFIT: Xscores is 60min behind. Match starts at 19:00 (per Xscores) but actually at 20:00 (per Betika). You can bet on Xscores website until 19:00!,HIGH
Rennes vs Paris Saint-Germain,L1,Xscores,20:00,18:00,['Betika'],1320.0,20:00,🎯 PROFIT: Xscores is 1320min behind. Match starts at 20:00 (per Xscores) but actually at 18:00 (per Betika). You can bet on Xscores website until 20:00!,HIGH
Hull vs Chelsea,FAC,Betika,19:45,21:45,['Xscores'],120.0,19:45,🎯 PROFIT: Betika is 120min behind. Match starts at 19:45 (per Betika) but actually at 21:45 (per Xscores). You can bet on Betika website until 19:45!,HIGH
Wrexham vs Ipswich,FAC,Betika,20:00,21:45,['Xscores'],105.0,20:00,🎯 PROFIT: Betika is 105min behind. Match starts at 20:00 (per Betika) but actually at 21:45 (per Xscores). You can bet on Betika website until 20:00!,HIGH
Elche vs Osasuna,L,Betika,20:00,22:00,['Xscores'],120.0,20:00,🎯 PROFIT: Betika is 120min behind. Match starts at 20:00 (per Betika) but actually at 22:00 (per Xscores). You can bet on Betika website until 20:00!,HIGH
Monaco vs Nantes,L1,Betika,20:05,22:05,['Xscores'],120.0,20:05,🎯 PROFIT: Betika is 120min behind. Match starts at 20:05 (per Betika) but actually at 22:05 (per Xscores). You can bet on Betika website until 20:05!,HIGH
Elche CF vs CA Osasuna,Football,Betika,20:00,23:00,['Odibets'],180.0,20:00,🎯 PROFIT: Betika is 180min behind. Match starts at 20:00 (per Betika) but actually at 23:00 (per Odibets). You can bet on Betika website until 20:00!,HIGH
Hull City vs Chelsea FC,Football,Betika,20:00,22:45,['Odibets'],165.0,20:00,🎯 PROFIT: Betika is 165min behind. Match starts at 20:00 (per Betika) but actually at 22:45 (per Odibets). You can bet on Betika website until 20:00!,HIGH
Pisa SC vs AC Milan,Football,Betika,20:00,22:45,['Odibets'],165.0,20:00,🎯 PROFIT: Betika is 165min behind. Match starts at 20:00 (per Betika) but actually at 22:45 (per Odibets). You can bet on Betika website until 20:00!,HIGH
AS Monaco vs FC Nantes,Football,Betika,20:00,23:05,['Odibets'],185.0,20:00,🎯 PROFIT: Betika is 185min behind. Match starts at 20:00 (per Betika) but actually at 23:05 (per Odibets). You can bet on Betika website until 20:00!,HIGH
Stade Rennais FC vs Paris Saint-Germain,Football,Betika,20:00,21:00,['Odibets'],60.0,20:00,🎯 PROFIT: Betika is 60min behind. Match starts at 20:00 (per Betika) but actually at 21:00 (per Odibets). You can bet on Betika website until 20:00!,HIGH
Galatasaray vs Eyupspor,SL,Betika,20:00,19:00,['Xscores'],1380.0,20:00,🎯 PROFIT: Betika is 1380min behind. Match starts at 20:00 (per Betika) but actually at 19:00 (per Xscores). You can bet on Betika website until 20:00!,HIGH
Rennes vs Paris Saint-Germain,L1,Xscores,20:00,18:00,['Betika'],1320.0,20:00,🎯 PROFIT: Xscores is 1320min behind. Match starts at 20:00 (per Xscores) but actually at 18:00 (per Betika). You can bet on Xscores website until 20:00!,HIGH
Hull vs Chelsea,FAC,Betika,19:45,21:45,['Xscores'],120.0,19:45,🎯 PROFIT: Betika is 120min behind. Match starts at 19:45 (per Betika) but actually at 21:45 (per Xscores). You can bet on Betika website until 19:45!,HIGH
Wrexham vs Ipswich,FAC,Betika,20:00,21:45,['Xscores'],105.0,20:00,🎯 PROFIT: Betika is 105min behind. Match starts at 20:00 (per Betika) but actually at 21:45 (per Xscores). You can bet on Betika website until 20:00!,HIGH
Elche vs Osasuna,L,Betika,20:00,22:00,['Xscores'],120.0,20:00,🎯 PROFIT: Betika is 120min behind. Match starts at 20:00 (per Betika) but actually at 22:00 (per Xscores). You can bet on Betika website until 20:00!,HIGH
Monaco vs Nantes,L1,Betika,20:05,22:05,['Xscores'],120.0,20:05,🎯 PROFIT: Betika is 120min behind. Match starts at 20:05 (per Betika) but actually at 22:05 (per Xscores). You can bet on Betika website until 20:05!,HIGH
Elche CF vs CA Osasuna,Football,Betika,20:00,23:00,['Odibets'],180.0,20:00,🎯 PROFIT: Betika is 180min behind. Match starts at 20:00 (per Betika) but actually at 23:00 (per Odibets). You can bet on Betika website until 20:00!,HIGH
Hull City vs Chelsea FC,Football,Betika,20:00,22:45,['Odibets'],165.0,20:00,🎯 PROFIT: Betika is 165min behind. Match starts at 20:00 (per Betika) but actually at 22:45 (per Odibets). You can bet on Betika website until 20:00!,HIGH
Pisa SC vs AC Milan,Football,Betika,20:00,22:45,['Odibets'],165.0,20:00,🎯 PROFIT: Betika is 165min behind. Match starts at 20:00 (per Betika) but actually at 22:45 (per Odibets). You can bet on Betika website until 20:00!,HIGH
AS Monaco vs FC Nantes,Football,Betika,20:00,23:05,['Odibets'],185.0,20:00,🎯 PROFIT: Betika is 185min behind. Match starts at 20:00 (per Betika) but actually at 23:05 (per Odibets). You can bet on Betika website until 20:00!,HIGH
Stade Rennais FC vs Paris Saint-Germain,Football,Betika,20:00,21:00,['Odibets'],60.0,20:00,🎯 PROFIT: Betika is 60min behind. Match starts at 20:00 (per Betika) but actually at 21:00 (per Odibets). You can bet on Betika website until 20:00!,HIGH
Galatasaray vs Eyupspor,SL,Betika,20:00,19:00,['Xscores'],1380.0,20:00,🎯 PROFIT: Betika is 1380min behind. Match starts at 20:00 (per Betika) but actually at 19:00 (per Xscores). You can bet on Betika website until 20:00!,HIGH
Rennes vs Paris Saint-Germain,L1,Xscores,20:00,18:00,['Betika'],1320.0,20:00,🎯 PROFIT: Xscores is 1320min behind. Match starts at 20:00 (per Xscores) but actually at 18:00 (per Betika). You can bet on Xscores website until 20:00!,HIGH
Hull vs Chelsea,FAC,Betika,19:45,21:45,['Xscores'],120.0,19:45,🎯 PROFIT: Betika is 120min behind. Match starts at 19:45 (per Betika) but actually at 21:45 (per Xscores). You can bet on Betika website until 19:45!,HIGH
Wrexham vs Ipswich,FAC,Betika,20:00,21:45,['Xscores'],105.0,20:00,🎯 PROFIT: Betika is 105min behind. Match starts at 20:00 (per Betika) but actually at 21:45 (per Xscores). You can bet on Betika website until 20:00!,HIGH
Elche vs Osasuna,L,Betika,20:00,22:00,['Xscores'],120.0,20:00,🎯 PROFIT: Betika is 120min behind. Match starts at 20:00 (per Betika) but actually at 22:00 (per Xscores). You can bet on Betika website until 20:00!,HIGH
Monaco vs Nantes,L1,Betika,20:05,22:05,['Xscores'],120.0,20:05,🎯 PROFIT: Betika is 120min behind. Match starts at 20:05 (per Betika) but actually at 22:05 (per Xscores). You can bet on Betika website until 20:05!,HIGH
Elche CF vs CA Osasuna,Football,Betika,20:00,23:00,['Odibets'],180.0,20:00,🎯 PROFIT: Betika is 180min behind. Match starts at 20:00 (per Betika) but actually at 23:00 (per Odibets). You can bet on Betika website until 20:00!,HIGH
Hull City vs Chelsea FC,Football,Betika,20:00,22:45,['Odibets'],165.0,20:00,🎯 PROFIT: Betika is 165min behind. Match starts at 20:00 (per Betika) but actually at 22:45 (per Odibets). You can bet on Betika website until 20:00!,HIGH
Pisa SC vs AC Milan,Football,Betika,20:00,22:45,['Odibets'],165.0,20:00,🎯 PROFIT: Betika is 165min behind. Match starts at 20:00 (per Betika) but actually at 22:45 (per Odibets). You can bet on Betika website until 20:00!,HIGH
AS Monaco vs FC Nantes,Football,Betika,20:00,23:05,['Odibets'],185.0,20:00,🎯 PROFIT: Betika is 185min behind. Match starts at 20:00 (per Betika) but actually at 23:05 (per Odibets). You can bet on Betika website until 20:00!,HIGH
Stade Rennais FC vs Paris Saint-Germain,Football,Betika,20:00,21:00,['Odibets'],60.0,20:00,🎯 PROFIT: Betika is 60min behind. Match starts at 20:00 (per Betika) but actually at 21:00 (per Odibets). You can bet on Betika website until 20:00!,HIGH
Galatasaray vs Eyupspor,SL,Betika,20:00,19:00,['Xscores'],1380.0,20:00,🎯 PROFIT: Betika is 1380min behind. Match starts at 20:00 (per Betika) but actually at 19:00 (per Xscores). You can bet on Betika website until 20:00!,HIGH
Rennes vs Paris Saint-Germain,L1,Xscores,20:00,18:00,['Betika'],1320.0,20:00,🎯 PROFIT: Xscores is 1320min behind. Match starts at 20:00 (per Xscores) but actually at 18:00 (per Betika). You can bet on Xscores website until 20:00!,HIGH
Hull vs Chelsea,FAC,Betika,19:45,21:45,['Xscores'],120.0,19:45,🎯 PROFIT: Betika is 120min behind. Match starts at 19:45 (per Betika) but actually at 21:45 (per Xscores). You can bet on Betika website until 19:45!,HIGH
Wrexham vs Ipswich,FAC,Betika,20:00,21:45,['Xscores'],105.0,20:00,🎯 PROFIT: Betika is 105min behind. Match starts at 20:00 (per Betika) but actually at 21:45 (per Xscores). You can bet on Betika website until 20:00!,HIGH
Elche vs Osasuna,L,Betika,20:00,22:00,['Xscores'],120.0,20:00,🎯 PROFIT: Betika is 120min behind. Match starts at 20:00 (per Betika) but actually at 22:00 (per Xscores). You can bet on Betika website until 20:00!,HIGH
Monaco vs Nantes,L1,Betika,20:05,22:05,['Xscores'],120.0,20:05,🎯 PROFIT: Betika is 120min behind. Match starts at 20:05 (per Betika) but actually at 22:05 (per Xscores). You can bet on Betika website until 20:05!,HIGH
Sevilla FC vs Deportivo Alaves,Football,Xscores,19:30,20:30,['Odibets'],60.0,19:30,🎯 PROFIT: Xscores is 60min behind. Match starts at 19:30 (per Xscores) but actually at 20:30 (per Odibets). You can bet on Xscores website until 19:30!,HIGH
Portsmouth FC vs Sheffield United,Football,Xscores,17:00,18:00,['Odibets'],60.0,17:00,🎯 PROFIT: Xscores is 60min behind. Match starts at 17:00 (per Xscores) but actually at 18:00 (per Odibets). You can bet on Xscores website until 17:00!,HIGH
Sheffield Wednesday vs Millwall FC,Football,Xscores,17:00,18:00,['Odibets'],60.0,17:00,🎯 PROFIT: Xscores is 60min behind. Match starts at 17:00 (per Xscores) but actually at 18:00 (per Odibets). You can bet on Xscores website until 17:00!,HIGH
Manchester City vs Salford City,Football,Xscores,17:00,18:00,['Odibets'],60.0,17:00,🎯 PROFIT: Xscores is 60min behind. Match starts at 17:00 (per Xscores) but actually at 18:00 (per Odibets). You can bet on Xscores website until 17:00!,HIGH
